number,value,state,params_act,params_alpha,params_attn_dropout,params_branch_norm,params_dropout,params_heads,params_hidden_channels,params_hop_scalar_profile,params_lr,params_max_hops,params_norm,params_num_edges,params_num_layers,params_root_scalar_init,params_v7_input_skip,params_v7_num_banks,params_weight_decay,user_attrs_best_epoch,user_attrs_final_test_metric,user_attrs_run_dir
0,0.794,COMPLETE,elu,1.0,0.6,none,0.6,2,96,one_hop_strong,0.003,2,layernorm,20000,2,0.95,False,2,0.001,68,0.785,results\launches\glant_v7_edge_hop_hpo_cora_local_seed0\raw\Cora\GLANT_v7\hpo_trial_000\seed_0\run_0
1,0.82,COMPLETE,elu,1.0,0.45,none,0.65,4,64,front_loaded,0.002,2,layernorm,30000,2,0.9,False,2,0.003,36,0.801,results\launches\glant_v7_edge_hop_hpo_cora_local_seed0\raw\Cora\GLANT_v7\hpo_trial_001\seed_0\run_0
2,0.808,COMPLETE,relu,1.0,0.5,none,0.5,4,64,front_loaded,0.004,2,layernorm,15000,2,0.9,False,2,0.001,17,0.803,results\launches\glant_v7_edge_hop_hpo_cora_local_seed0\raw\Cora\GLANT_v7\hpo_trial_002\seed_0\run_0
3,0.808,COMPLETE,elu,1.0,0.5,none,0.65,8,64,balanced,0.002,2,layernorm,20000,2,0.95,False,2,0.0015,50,0.806,results\launches\glant_v7_edge_hop_hpo_cora_local_seed0\raw\Cora\GLANT_v7\hpo_trial_003\seed_0\run_0
4,0.804,COMPLETE,elu,1.0,0.6,none,0.5,4,48,front_loaded,0.004,2,layernorm,40000,2,0.9,False,2,0.002,29,0.793,results\launches\glant_v7_edge_hop_hpo_cora_local_seed0\raw\Cora\GLANT_v7\hpo_trial_004\seed_0\run_0
5,0.804,COMPLETE,relu,1.0,0.6,none,0.6,2,32,front_loaded,0.002,2,layernorm,20000,2,0.9,False,2,0.005,77,0.799,results\launches\glant_v7_edge_hop_hpo_cora_local_seed0\raw\Cora\GLANT_v7\hpo_trial_005\seed_0\run_0
6,0.796,COMPLETE,relu,1.0,0.45,none,0.55,4,48,one_hop_strong,0.004,2,layernorm,40000,2,0.9,False,2,0.005,44,0.801,results\launches\glant_v7_edge_hop_hpo_cora_local_seed0\raw\Cora\GLANT_v7\hpo_trial_006\seed_0\run_0
7,0.812,COMPLETE,relu,1.0,0.55,none,0.5,2,64,balanced,0.003,2,layernorm,30000,2,0.95,False,2,0.003,29,0.811,results\launches\glant_v7_edge_hop_hpo_cora_local_seed0\raw\Cora\GLANT_v7\hpo_trial_007\seed_0\run_0
8,0.802,COMPLETE,elu,1.0,0.45,none,0.5,8,32,front_loaded,0.002,2,layernorm,20000,2,0.9,False,2,0.001,27,0.795,results\launches\glant_v7_edge_hop_hpo_cora_local_seed0\raw\Cora\GLANT_v7\hpo_trial_008\seed_0\run_0
9,0.73,COMPLETE,elu,1.0,0.55,none,0.5,8,96,front_loaded,0.005,2,layernorm,40000,2,0.9,False,2,0.005,30,0.71,results\launches\glant_v7_edge_hop_hpo_cora_local_seed0\raw\Cora\GLANT_v7\hpo_trial_009\seed_0\run_0
10,0.798,COMPLETE,elu,1.0,0.45,none,0.65,4,64,balanced,0.005,2,layernorm,30000,2,0.95,False,2,0.003,35,0.807,results\launches\glant_v7_edge_hop_hpo_cora_local_seed0\raw\Cora\GLANT_v7\hpo_trial_010\seed_0\run_0
11,0.814,COMPLETE,relu,1.0,0.55,none,0.7,2,64,balanced,0.003,2,layernorm,30000,2,0.95,False,2,0.003,59,0.817,results\launches\glant_v7_edge_hop_hpo_cora_local_seed0\raw\Cora\GLANT_v7\hpo_trial_011\seed_0\run_0
12,0.814,COMPLETE,relu,1.0,0.55,none,0.7,2,64,balanced,0.003,2,layernorm,30000,2,0.95,False,2,0.003,58,0.816,results\launches\glant_v7_edge_hop_hpo_cora_local_seed0\raw\Cora\GLANT_v7\hpo_trial_012\seed_0\run_0
13,0.81,COMPLETE,relu,1.0,0.45,none,0.7,4,64,balanced,0.003,2,layernorm,30000,2,0.95,False,2,0.003,133,0.815,results\launches\glant_v7_edge_hop_hpo_cora_local_seed0\raw\Cora\GLANT_v7\hpo_trial_013\seed_0\run_0
14,0.808,COMPLETE,relu,1.0,0.55,none,0.65,2,64,one_hop_strong,0.002,2,layernorm,30000,2,0.9,False,2,0.003,52,0.812,results\launches\glant_v7_edge_hop_hpo_cora_local_seed0\raw\Cora\GLANT_v7\hpo_trial_014\seed_0\run_0
15,0.808,COMPLETE,elu,1.0,0.45,none,0.7,2,64,front_loaded,0.003,2,layernorm,15000,2,0.95,False,2,0.002,67,0.81,results\launches\glant_v7_edge_hop_hpo_cora_local_seed0\raw\Cora\GLANT_v7\hpo_trial_015\seed_0\run_0
16,0.792,COMPLETE,relu,1.0,0.55,none,0.55,4,32,balanced,0.002,2,layernorm,30000,2,0.9,False,2,0.0015,70,0.791,results\launches\glant_v7_edge_hop_hpo_cora_local_seed0\raw\Cora\GLANT_v7\hpo_trial_016\seed_0\run_0
17,0.808,COMPLETE,elu,1.0,0.5,none,0.65,2,48,balanced,0.005,2,layernorm,30000,2,0.95,False,2,0.003,52,0.807,results\launches\glant_v7_edge_hop_hpo_cora_local_seed0\raw\Cora\GLANT_v7\hpo_trial_017\seed_0\run_0
18,0.808,COMPLETE,relu,1.0,0.55,none,0.7,4,96,front_loaded,0.002,2,layernorm,30000,2,0.95,False,2,0.003,203,0.802,results\launches\glant_v7_edge_hop_hpo_cora_local_seed0\raw\Cora\GLANT_v7\hpo_trial_018\seed_0\run_0
19,0.808,COMPLETE,elu,1.0,0.45,none,0.65,8,64,one_hop_strong,0.003,2,layernorm,15000,2,0.9,False,2,0.003,37,0.805,results\launches\glant_v7_edge_hop_hpo_cora_local_seed0\raw\Cora\GLANT_v7\hpo_trial_019\seed_0\run_0
20,0.804,COMPLETE,elu,1.0,0.55,none,0.7,4,64,front_loaded,0.002,2,layernorm,30000,2,0.9,False,2,0.002,65,0.804,results\launches\glant_v7_edge_hop_hpo_cora_local_seed0\raw\Cora\GLANT_v7\hpo_trial_020\seed_0\run_0
21,0.81,COMPLETE,relu,1.0,0.55,none,0.7,2,64,balanced,0.003,2,layernorm,30000,2,0.95,False,2,0.003,93,0.812,results\launches\glant_v7_edge_hop_hpo_cora_local_seed0\raw\Cora\GLANT_v7\hpo_trial_021\seed_0\run_0
22,0.812,COMPLETE,relu,1.0,0.55,none,0.7,2,64,balanced,0.003,2,layernorm,30000,2,0.95,False,2,0.003,59,0.818,results\launches\glant_v7_edge_hop_hpo_cora_local_seed0\raw\Cora\GLANT_v7\hpo_trial_022\seed_0\run_0
23,0.81,COMPLETE,relu,1.0,0.55,none,0.7,2,64,balanced,0.003,2,layernorm,30000,2,0.95,False,2,0.003,59,0.818,results\launches\glant_v7_edge_hop_hpo_cora_local_seed0\raw\Cora\GLANT_v7\hpo_trial_023\seed_0\run_0
24,0.812,COMPLETE,relu,1.0,0.55,none,0.7,2,64,balanced,0.003,2,layernorm,30000,2,0.95,False,2,0.003,59,0.816,results\launches\glant_v7_edge_hop_hpo_cora_local_seed0\raw\Cora\GLANT_v7\hpo_trial_024\seed_0\run_0
25,0.81,COMPLETE,relu,1.0,0.45,none,0.6,2,64,balanced,0.003,2,layernorm,30000,2,0.95,False,2,0.0015,63,0.806,results\launches\glant_v7_edge_hop_hpo_cora_local_seed0\raw\Cora\GLANT_v7\hpo_trial_025\seed_0\run_0
26,0.774,COMPLETE,relu,1.0,0.6,none,0.55,2,96,balanced,0.005,2,layernorm,30000,2,0.95,False,2,0.003,27,0.771,results\launches\glant_v7_edge_hop_hpo_cora_local_seed0\raw\Cora\GLANT_v7\hpo_trial_026\seed_0\run_0
27,0.806,COMPLETE,relu,1.0,0.5,none,0.65,2,48,balanced,0.004,2,layernorm,40000,2,0.95,False,2,0.003,71,0.808,results\launches\glant_v7_edge_hop_hpo_cora_local_seed0\raw\Cora\GLANT_v7\hpo_trial_027\seed_0\run_0
28,0.818,COMPLETE,elu,1.0,0.55,none,0.7,8,32,one_hop_strong,0.003,2,layernorm,15000,2,0.9,False,2,0.003,70,0.811,results\launches\glant_v7_edge_hop_hpo_cora_local_seed0\raw\Cora\GLANT_v7\hpo_trial_028\seed_0\run_0
29,0.796,COMPLETE,elu,1.0,0.6,none,0.6,8,32,one_hop_strong,0.003,2,layernorm,15000,2,0.9,False,2,0.001,55,0.808,results\launches\glant_v7_edge_hop_hpo_cora_local_seed0\raw\Cora\GLANT_v7\hpo_trial_029\seed_0\run_0
30,0.822,COMPLETE,elu,1.0,0.45,none,0.7,8,32,one_hop_strong,0.002,2,layernorm,15000,2,0.9,False,2,0.002,71,0.814,results\launches\glant_v7_edge_hop_hpo_cora_local_seed0\raw\Cora\GLANT_v7\hpo_trial_030\seed_0\run_0
31,0.822,COMPLETE,elu,1.0,0.45,none,0.7,8,32,one_hop_strong,0.002,2,layernorm,15000,2,0.9,False,2,0.002,71,0.813,results\launches\glant_v7_edge_hop_hpo_cora_local_seed0\raw\Cora\GLANT_v7\hpo_trial_031\seed_0\run_0
